target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
CC(C)(C)P1(->C(C)(C)C)CP(C)(->C(C)(C)C)[Ru+2]1,c1ccc([C@H]2CC[C@H](c3ccccc3)N2p2([Rh+]p3(N4[C@@H](c5ccccc5)CC[C@@H]4c4ccccc4)->oc4ccccc4c4ccccc4o3)->oc3ccccc3c3ccccc3o2)cc1,C[C@@H](c1ccccc1)N([C@@H](C)c1ccccc1)p1([Rh+]p2(N([C@@H](C)c3ccccc3)[C@@H](C)c3ccccc3)->oc3ccccc3c3ccccc3o2)->oc2ccccc2c2ccccc2o1,CC(C)(C)P1([Ir+]P2(C(C)(C)C)->C3=C([Si](C)(C)C)C([Fe]C4C=CC=C4)C=C3CC2)->C2=C([Si](C)(C)C)C([Fe]C3C=CC=C3)C=C2CC1,CC(C)[C@H]1CC[C@H](C)C[C@@H]1Op1([Rh+]p2(O[C@H]3C[C@@H](C)CC[C@@H]3C(C)C)->oc3ccccc3c3ccccc3o2)->oc2ccccc2c2ccccc2o1,COc1cc(C(C)(C)C)c2op3(->oc4c(C(C)(C)C)cc(OC)cc4c2c1)NC[C@H]1OC2OC(C)(C)O[C@@H]2[C@H]1Op1(->oc2c(C(C)(C)C)cc(OC)cc2c2cc(OC)cc(C(C)(C)C)c2o1)[Rh+]3,0,-5.3619465827941895,-0.1374858170747757,39
CN(C)P1([Rh+]P2(N(C)C)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,C[C@@H]1C2=C([C@H]([Fe]C3C=CC=C3)C=C2)P(c2ccccc2)(->c2ccccc2)[Rh+]p2(->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)N1C,CN(C)P1([Rh+]P2(N(C)C)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,CC(C)(C)C(=O)Oc1cc2ccccc2c2c1P(c1ccccc1)(->c1ccccc1)[Rh+]P(c1ccccc1)(->c1ccccc1)c1c(OC(=O)C(C)(C)C)cc3ccccc3c1-3,CC1(C)[C@@H]2CC[C@@]1(C)[C@H]1c3<-n(c4c(nc3)CC=CC4)[Ir+]P(c3ccccc3)(->c3ccccc3)[C@H]21,CC(C)(C)C(=O)Oc1cc2ccccc2c2c1P(c1ccccc1)(->c1ccccc1)[Rh+]P(c1ccccc1)(->c1ccccc1)c1c(OC(=O)C(C)(C)C)cc3ccccc3c1-2,2,-2.7568323612213135,-0.03675776347517967,75
C[C@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1=C2[C@H](C=C1)[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,C[C@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1=C2[C@H](C=C1)[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,C[C@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1=C2[C@H](C=C1)[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Ir+]P2(c1ccccc1)->c1ccccc1,C[C@H](NC(=S)Nc1ccccc1)C1=C2C=C[C@H]1[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,C[C](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1=C2[C@H](C=C1)[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,C[C@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1=C2[C@H](C=C1)[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Nh+]P2(c1ccccc1)->c1ccccc1,1,-0.03468495234847069,-0.0003303328703623265,105
CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->C[C@@H](Cc5ccccc5)O3)[Ir+]2)CC4)c1,CC(C)[C@@H]1CN2->C(O1)c1cccc3c1[C@]1(CC3)CCc3cccc(c31)P(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)(->c1cc(C(C)(C)C)cc(C(C)(C)C)c1)[Ir+]=2,CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->CCO3)[Ir+]2)CC4)c1,c1ccc(C[C@@H]2CN3->C(O2)c2cccc4c2[C@]2(CC4)CCc4cccc(c42)P(c2ccccc2)(->c2ccccc2)[Ir+]=3)cc1,Cc1cc(C)cc(P2(c3cc(C)cc(C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->C[C@@H](Cc5ccccc5)O3)[Ir+]2)CC4)c1,c1ccc([C@@H]2CC[C@@H](c3ccccc3)<-P23CCP2(->[C@H](c4ccccc4)CC[C@H]2c2ccccc2)[Co+2]3)cc1,0,-0.6307178139686584,-0.005894558969885111,107
C[C@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1=C2[C@H](C=C1)[Fe][C@H]1C=CC=C1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,CC(C)(C)P12->[C@H](c3ccc4ccccc4c3-c3c(ccc4ccccc34)C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccc4ccccc4c3-c3c1ccc1ccccc31)[Rh+]2,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4c(c3-c3c2ccc2c3OCO2)OCO4)cc1,C[C@@H]1C2=C([C@@H]([Fe]C3C=CC=C3)C=C2)P(c2ccccc2)(->c2ccccc2)[Rh+]P1(C(C)(C)C)->C(C)(C)C,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4ccccc4c3-c3c2ccc2ccccc32)cc1,CS(=O)(c1ccccc1)=N1->c2cccc3cccc(c32)P(c2ccccc2)(->c2ccccc2)[Ir+]1,0,-0.5476865172386169,-0.005216062068939209,105
[BH3-][P+]12(->[C@H](C)COC[C@H]1C)CC[P+]1([BH3-])(->[C@H](C)COC[C@H]1C)[Rh+]2,[BH3-][P+]12(->[C@H](C)COC[C@H]1C)CC[P+]1([BH3-])(->[C@H](C)COC[C@H]1C)[Rh+]2,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,c1ccc2c(c1)ccc1op3(->oc4ccc5ccccc5c4c12)Nc1cccc2cccn(->c12)[Rh+]3,CC1(C)O[C@@H]2CP(c3ccccc3)(->c3ccccc3)[Rh+]P(c3ccccc3)(->c3ccccc3)C[C@H]2O1,c1ccc(C[C@H]2<-P3(CCC2)CCP2(->[C@H](Cc4ccccc4)CCC2)[Rh+]3)cc1,1,-2.094693422317505,-0.031264081597328186,67
COc1ccc(-c2cc3c(c4c2op([Ir+]p2(N(C)C)->oc5c(-c6ccc(OC)cc6)cc6c(c5c5c7c(cc(-c8ccc(OC)cc8)c5o2)CCCC7)CCCC6)(N(C)C)->oc2c(-c5ccc(OC)cc5)cc5c(c24)CCCC5)CCCC3)cc1,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(C)P1([Rh+]P2(N(C)C)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4c(c3c3c5c(ccc3o2)CCCC5)CCCC4)->oc2ccc3c(c2c2c4c(ccc2o1)CCCC4)CCCC3,C[C@H]1C2=C([C@@H]([Fe]C3C=CC=C3)C=C2)P(c2ccccc2)(->c2ccccc2)[Rh+]P(c2ccccc2)(->c2ccccc2)c2c(-c3ccccc3)nnn21,CC(C)(C)Oc1ccccc1P1(->c2ccccc2)CCP(c2ccccc2)(->c2ccccc2OC(C)(C)C)[Rh+]1,0,-3.515660524368286,-0.028582606464624405,123
COc1cccc2c1-c1c(OC)cccc1P(c1ccccc1)(->c1ccccc1)[Rh+]P2(c1ccccc1)->c1ccccc1,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4c(c3-c3c2ccc2c3OCO2)OCO4)cc1,CC(C)(C)P12->[C@@H](c3ccccc3C1)[C@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,C[C@H]1CC[C@H](C)<-P12[Rh+]P1(->[C@@H](C)CC[C@@H]1C)c1ccccc12,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4ccccc4c3-c3c2ccc2ccccc32)cc1,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3cccc4c3-c3c(cccc32)OCCCO4)cc1,0,-8.228461265563965,-0.14187002182006836,58
CC(C)(C)P12->[C@H](c3ccc4ccccc4c3-c3c(ccc4ccccc34)C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccc4ccccc4c3-c3c1ccc1ccccc31)[Ni+2]2,CC(C)(C)P12->[C@H](CCC1)[C@@H]1<-P(C(C)(C)C)(CCC1)[Rh+]2,CC(C)(C)P12->[C@H](c3ccccc3C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Ni+2]2,CC(C)(C)P12->[C@H](c3ccccc3C1)[C@@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4c(c3-c3c2ccc2c3OCO2)OCO4)cc1,c1ccc(P2(->c3ccccc3)[Rh+]P(c3ccccc3)(c3ccccc3)->c3ccc4ccccc4c3-c3c2ccc2ccccc32)cc1,0,-1.2799063920974731,-0.014064905233681202,91
c1ccc(-c2<-n3c4n(c2)CCC[C@H]4CP(c2ccccc2)(->c2ccccc2)[Ir+]3)cc1,c1ccc(-c2<-n3c4n(c2)CCC[C@H]4CP(c2ccccc2)(->c2ccccc2)[Ir+]3)cc1,c1ccc(-c2sc3c4<-n2[Ir+]P(c2ccccc2)(->c2ccccc2)C[C@H]4CCC3)cc1,Cc1ccccc1P1(c2ccccc2C)->N2[C@H]3CC[C@H](C3)[C@@H]2c2scc(-c3ccccc3)<-n2[Ir+]1,Cc1sc2c3<-n1[Ir+]P(c1ccccc1)(->c1ccccc1)N(C)[C@@H]3CCC2,CN1[C@@H]2CCCc3sc(-c4ccccc4)n(->c32)[Ir+]P1(c1ccccc1)->c1ccccc1,1,-1.109479308128357,-0.020933572202920914,53
