target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.5165401697158813,-0.025827009230852127,20
COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@H](Cc1ccccc1)NC(C)=O,COOCC[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[COB@H](Cc1ccccc1)NC(C)=O,1,-0.03496288135647774,-0.001344726188108325,26
CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@H](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@H](B1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@H](SC1ccccc1)c1cccc(F)c1,2,-4.115088939666748,-0.13274480402469635,31
CC(C)[C@@H](C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1,CC(C)[C@H](C(=O)O)c1ccccc1,CC(C)[CC@@H](C(=O)O)c1ccccc1,CC(C)[C]@@H](C(=O)O)c1ccccc1,CC(C)[CH](C(=O)O)c1ccccc1,1,-0.0646928995847702,-0.002812734805047512,23
Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@@H](C)CC(=O)c2ccc(C)cc2)cc1,Cc1ccc([C@H](C)CC(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)C2ccc(C)cc2)cc1,Cc1ccc([C@@H](C)CC(=O)c2ccc(C)cc2)cc1,0,-29.95223045349121,-0.7305421829223633,41
CC(=O)N[C@H](C)C(=O)O,CC(=O)N[C@H](C)C(=O)O,CC(=O)N[C@@H](C)C(=O)O,CC[C@@H](NC(C)=O)C(=O)O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,1,-0.03439577296376228,-0.0016378939617425203,21
CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[CC@@H](C)c1ccccc1,COc1ccccc1[C@H](C)NC(C)=O,CC(=O)N[C@@H](C)/c1ccccc1,1,-0.10946047306060791,-0.005212403368204832,21
CCOP(=O)(C[C@H](N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC,CCOP(=O)(C[C@@H](N)c1ccccc1)OCC,CCOP(=O)(C[C[C@H](N)c1ccccc1)OCC,CCOP(=O)(C[CC@H](N)c1ccccc1)OCC,CCOP(=O)(C[C[C@@H](N)c1ccccc1)OCC,1,-0.3280772268772125,-0.01312308944761753,25
CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C#H](CS(C)(=O)=O)c1ccc(C)cc1,CC=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[CH](CS(C)(=O)=O)c1ccc(C)cc1,1,-0.06293288618326187,-0.0019666526932269335,32
CCOC(=O)[C@@H](F)Cc1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,CCOC(=O)[C@H](F)Cc1ccccc1,CCOC(=O)[C=O)[C@@H](F)Cc1ccccc1,CCOC(=O)[CC@@H](F)Cc1ccccc1,CCOC(=O)[C[C@@H](F)Cc1ccccc1,1,-0.309392511844635,-0.014063295908272266,22
CC[C@@H](C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,CC[C(C)c1ccc([C@H](C)C(=O)O)cc1,CC[C=O)c1ccc([C@H](C)C(=O)OC)cc1,CC[C=O)c1ccc([C@H](C)C(=O)O)cc1,1,-0.06970914453268051,-0.0036689024418592453,19
COC(=O)[C@H](C)CC(C)=O,COC(=O)[C@H](C)CC(C)=O,COC(=O)[C@@H](C)CC(C)=O,COC(=O)[C[C@H](C)CC(C)=O,COC(=O)[CO[C@H](C)CC(C)=O,COC(=O)[CC@H](C)CC(C)=O,1,-0.23664477467536926,-0.011832239106297493,20
CN1CCC[C@H]1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(F)c1,CN1CCC[C@@H]1c1cccc(F)c1,CN1CCC=C1c1cccc(F)c1,CN1CCC[CH]1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(Cl)c1,1,-0.05069628730416298,-0.0024141089525073767,21
COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[CC@@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,2,-1.0223057270050049,-0.04646844044327736,22
CC(=O)[C@@H](C)Cc1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1,CC(=O)[C@H](C)Cc1ccccc1,CC(=O)[CC@@H](C)Cc1ccccc1,CC(=O)[CH](C)Cc1ccccc1,CC(=O)[CCC@@H](C)Cc1ccccc1,1,-0.04011526331305504,-0.002005763119086623,20
C[C@@H]1Cc2ccccc2N1,C[C@@H]1Cc2ccccc2N1,C[C@H]1Cc2ccccc2N1,C[C[C@@H]1Cc2ccccc2N1,C[C[C@H]1Cc2ccccc2N1,C[CC@@H]1Cc2ccccc2N1,1,-0.47696658968925476,-0.02649814449250698,18
CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C[C@H](C)c1ccccc1,CC(=O)N[C@H](C)/c1ccccc1,CC(=O)N[CC@H](C)c1ccccc1,1,-0.28963157534599304,-0.013791980221867561,21
O=C(O)[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[C@@H](Cc1ccccc1)c1ccccc1,O=C(O)[CC@H](Cc1ccccc1)c1ccccc1,O=C(O)[C[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[CH](Cc1ccccc1)c1ccccc1,1,-0.06372419744729996,-0.002450930653139949,26
CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[CC@@H](Cc1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(S)(F)F,CC(=O)N[C(@@H](Cc1cccc(Cl)c1)C(F)(F)F,1,-0.017926344648003578,-0.0005782691878266633,31
O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[C@@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[CC@H](Cc1ccccc1)OCc1ccccc1,O=C(N[C@H](Cc1ccccc1)OCc1ccccc1,O=C(O)[CH](Cc1ccccc1)OCc1ccccc1,1,-0.04555097594857216,-0.0016870731487870216,27
CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](C)c1ccc(Cl)cc1,CCOC(=O)C[CH](C)c1ccc(Cl)cc1,CCOC(=O)C[CClC)c1ccc(Cl)cc1,CCOC(=O)C[C=C)c1ccc(Cl)cc1,1,-0.03226572275161743,-0.0012409893097355962,26
CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(CC)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(F)(C)C)cc1)C(=O)O,CC[C@](Oc1ccc(C(C)(C)C)cc1)C(=O)O,1,-0.026235902681946754,-0.0008463194244541228,31
COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,COC[C@@H]1CCCC[C@@H]1c1ccc(OC)cc1,COC[C[C@H]1CCCC[C@H]1c1ccc(OC)cc1,COC[C@H]1CCCC[C@@H]1c1ccc(OC)cc1,COC[C[C@@H]1CCCC[C@@H]1c1ccc(OC)cc1,1,-0.14001965522766113,-0.005185913294553757,27
CCCC[C@H](C)OC(=O)c1ccccc1,CCCC[C@H](C)OC(=O)c1ccccc1,CCCC[C@@H](C)OC(=O)c1ccccc1,CCCC[C]O[C@H](C)OC(=O)c1ccccc1,CCCC[C@H](C)OC(=O)c1ccCCc1,CCCC[C]O[C@@H](C)OC(=O)c1ccccc1,1,-0.46118035912513733,-0.02096274308860302,22
CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C@@H](Oc1ccc2ccccc2c1)C(=O)O,CC[CC@H](Oc1ccc2ccccc2c1)C(=O)O,CC[C]@H](Oc1ccc2ccccc2c1)C(=O)O,CC[COB@H](Oc1ccc2ccccc2c1)C(=O)O,1,-0.025071311742067337,-0.0009285670821554959,27
COc1ccc([C@H](C)Cc2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,COc1ccc([C@@H](C)Cc2ccccc2)cc1,Cc1ccc([C@H](C)Cc2ccccc2)cc1,CC[C@H](C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,1,-0.056713592261075974,-0.0023630664218217134,24
COc1ccc([C@@H](C)NC(C)=O)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,COc1ccc([C@H](C)NC(C)=O)cc1,CC(=O)N[C@H](C)c1ccc(OC)cc1,CC(=O)N[C@@H](C)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)c1,1,-0.03636484593153,-0.0015810802578926086,23
CC(=O)N[C@H](C#N)Cc1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,CC(=O)N[C@@H](C#N)Cc1ccccc1,CC(=O)N[CC@H](C#N)Cc1ccccc1,CC(=O)N[C@H](C#N])Cc1ccccc1,CC(=O)N[C](C#N)Cc1ccccc1,1,-0.22586968541145325,-0.009411237202584743,24
C[C@H](c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,C[C@@H](c1ccccc1)C(C)(C)C,C[CC@H](c1ccccc1)C(C)(C)C,C[C]@H](c1ccccc1)C(C)(C)C,C[C=C(c1ccccc1)C(C)(C)C,1,-0.15485818684101105,-0.007039008662104607,22
C[C@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[CC@H](Cc1ccccc1)c1ccccc1,C[C[C@H](Cc1ccccc1)c1ccccc1,C[Ccc@H](Cc1ccccc1)c1ccccc1,1,-0.030076447874307632,-0.001367111224681139,22
CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,CC(=O)N[C@@H]1CCCC[C@@H]1c1ccccc1,CC(=O)N[C@H]1CCCC[C@@H]1c1ccccc1,CC(=O)N[C[C@H]1CCCC[C@H]1c1ccccc1,CC(=O)N[CC@H]1CCCC[C@H]1c1ccccc1,1,-0.04309573024511337,-0.0015391332563012838,28
